Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.002
Vertical Position,-0.26
,
,
,
Label,
TIME,CH2
-9.0420e-04,0.00183219
-9.0400e-04,0.00181063
-9.0380e-04,0.00171063
-9.0360e-04,0.00200063
-9.0340e-04,0.00186063
-9.0320e-04,0.00182
-9.0300e-04,0.00187813
-9.0280e-04,0.00201781
-9.0260e-04,0.001945
-9.0240e-04,0.00177969
-9.0220e-04,0.00186219
-9.0200e-04,0.00167
-9.0180e-04,0.00173531
-9.0160e-04,0.00163313
-9.0140e-04,0.00186
-9.0120e-04,0.00185781
-9.0100e-04,0.00178625
-9.0080e-04,0.00182563
-9.0060e-04,0.001995
-9.0040e-04,0.0018475
-9.0020e-04,0.0017625
-9.0000e-04,0.00190625
-8.9980e-04,0.0020125
-8.9960e-04,0.00192844
-8.9940e-04,0.00193563
-8.9920e-04,0.00209469
-8.9900e-04,0.00187094
-8.9880e-04,0.00185969
-8.9860e-04,0.00189906
-8.9840e-04,0.0019425
-8.9820e-04,0.00184781
-8.9800e-04,0.00177844
-8.9780e-04,0.00195344
-8.9760e-04,0.00186781
-8.9740e-04,0.00196656
-8.9720e-04,0.00208844
-8.9700e-04,0.001925
-8.9680e-04,0.00175688
-8.9660e-04,0.00188469
-8.9640e-04,0.00199844
-8.9620e-04,0.0016875
-8.9600e-04,0.00191094
-8.9580e-04,0.00190781
-8.9560e-04,0.00206781
-8.9540e-04,0.00210531
-8.9520e-04,0.00186406
-8.9500e-04,0.00214438
-8.9480e-04,0.00208344
-8.9460e-04,0.00189875
-8.9440e-04,0.00191813
-8.9420e-04,0.00194313
-8.9400e-04,0.00202719
-8.9380e-04,0.0018975
-8.9360e-04,0.00214281
-8.9340e-04,0.00202031
-8.9320e-04,0.00182219
-8.9300e-04,0.00189813
-8.9280e-04,0.00191531
-8.9260e-04,0.00183813
